iter	Passed	Remaining
418	2822	3914
419	2829	3907
420	2836	3901
421	2842	3893
422	2849	3886
423	2856	3880
424	2863	3874
425	2870	3867
426	2877	3860
427	2883	3853
428	2890	3846
429	2896	3839
430	2903	3833
431	2911	3828
432	2918	3822
433	2926	3816
434	2933	3810
435	2940	3803
436	2947	3797
437	2954	3790
438	2960	3783
439	2967	3776
440	2973	3768
441	2979	3761
442	2986	3754
443	2991	3746
444	2999	3740
445	3005	3733
446	3012	3727
447	3019	3720
448	3027	3715
449	3034	3708
450	3041	3702
451	3048	3695
452	3055	3689
453	3062	3683
454	3069	3676
455	3077	3671
456	3085	3665
457	3092	3659
458	3098	3652
459	3104	3644
460	3111	3638
461	3119	3632
462	3126	3625
463	3133	3619
464	3139	3612
465	3147	3606
466	3153	3598
467	3159	3591
468	3166	3585
469	3173	3578
470	3179	3570
471	3186	3564
472	3192	3557
473	3199	3550
474	3206	3543
475	3213	3537
476	3219	3529
477	3224	3520
478	3230	3513
479	3237	3507
480	3244	3500
481	3251	3494
482	3258	3488
483	3265	3481
484	3271	3474
485	3278	3467
486	3286	3461
487	3293	3455
488	3299	3448
489	3305	3440
490	3312	3433
491	3320	3428
492	3327	3422
493	3334	3415
494	3341	3408
495	3347	3401
496	3354	3395
497	3362	3389
498	3368	3382
499	3375	3375
500	3382	3368
501	3388	3361
502	3396	3355
503	3403	3349
504	3409	3342
505	3415	3334
506	3422	3328
507	3429	3321
508	3436	3314
509	3443	3308
510	3448	3299
511	3455	3293
512	3461	3285
513	3467	3278
514	3473	3270
515	3478	3263
516	3486	3256
517	3493	3250
518	3501	3244
519	3508	3238
520	3515	3232
521	3522	3225
522	3529	3219
523	3536	3212
524	3544	3206
525	3551	3200
526	3558	3193
527	3564	3186
528	3571	3179
529	3577	3172
530	3584	3166
531	3591	3159
532	3597	3152
533	3604	3145
534	3611	3139
535	3618	3132
536	3625	3125
537	3632	3119
538	3639	3112
539	3646	3106
540	3653	3099
541	3657	3091
542	3664	3084
543	3669	3075
544	3676	3069
545	3682	3062
546	3690	3056
547	3697	3049
548	3704	3043
549	3711	3036
550	3716	3028
551	3723	3021
552	3729	3014
553	3736	3008
554	3743	3001
555	3750	2994
556	3756	2987
557	3763	2981
558	3770	2974
559	3776	2967
560	3784	2961
561	3790	2954
562	3796	2947
563	3803	2940
564	3809	2932
565	3817	2927
566	3825	2921
567	3833	2915
568	3840	2909
569	3846	2901
570	3853	2894
571	3859	2888
572	3866	2881
573	3873	2875
574	3881	2868
575	3888	2862
576	3894	2854
577	3900	2847
578	3907	2841
579	3914	2834
580	3920	2827
581	3927	2820
582	3934	2814
583	3942	2808
584	3948	2801
585	3955	2794
586	3961	2786
587	3967	2779
588	3974	2773
589	3982	2767
590	3988	2760
591	3995	2753
592	4002	2747
593	4009	2740
594	4016	2733
595	4023	2727
596	4030	2720
597	4038	2714
598	4045	2707
599	4051	2700
600	4056	2692
601	4063	2686
602	4069	2679
603	4075	2671
604	4082	2665
605	4089	2659
606	4096	2652
607	4103	2645
608	4111	2639
609	4118	2633
610	4125	2626
611	4132	2619
612	4137	2612
613	4145	2605
614	4151	2598
615	4156	2591
616	4161	2583
617	4168	2576
618	4174	2569
619	4180	2561
620	4186	2554
621	4193	2548
622	4199	2541
623	4207	2535
624	4212	2527
625	4219	2520
626	4226	2514
627	4232	2506
628	4238	2499
629	4243	2492
630	4249	2485
631	4256	2478
632	4263	2471
633	4269	2464
634	4275	2457
635	4282	2451
636	4289	2444
637	4296	2437
638	4303	2431
639	4310	2424
640	4316	2417
641	4323	2410
642	4329	2403
643	4336	2397
644	4341	2389
645	4347	2382
646	4354	2375
647	4361	2368
648	4367	2362
649	4374	2355
650	4380	2348
651	4388	2342
652	4394	2335
653	4401	2328
654	4409	2322
655	4414	2315
656	4421	2308
657	4428	2301
658	4435	2295
659	4441	2288
660	4448	2281
661	4454	2274
662	4460	2267
663	4466	2260
664	4473	2253
665	4479	2246
666	4485	2239
667	4491	2232
668	4498	2225
669	4503	2218
670	4510	2211
671	4517	2205
672	4523	2197
673	4529	2190
674	4536	2184
675	4542	2177
676	4549	2170
677	4556	2163
678	4563	2157
679	4569	2150
680	4575	2143
681	4581	2136
682	4588	2129
683	4595	2122
684	4601	2116
685	4608	2109
686	4615	2102
687	4621	2095
688	4629	2089
689	4636	2083
690	4642	2075
691	4649	2069
692	4657	2063
693	4664	2056
694	4671	2050
695	4679	2043
696	4686	2037
697	4692	2030
698	4698	2023
699	4705	2016
700	4713	2010
701	4720	2003
702	4726	1996
703	4731	1989
704	4738	1982
705	4744	1975
706	4750	1968
707	4756	1961
708	4764	1955
709	4771	1949
710	4778	1942
711	4785	1935
712	4790	1928
713	4796	1921
714	4803	1914
715	4809	1907
716	4815	1900
717	4821	1893
718	4828	1887
719	4834	1880
720	4842	1873
721	4848	1866
722	4855	1860
723	4861	1853
724	4868	1846
725	4875	1840
726	4882	1833
727	4889	1826
728	4895	1820
729	4902	1813
730	4908	1806
731	4916	1799
732	4923	1793
733	4930	1786
734	4936	1779
735	4944	1773
736	4949	1766
737	4956	1759
738	4963	1753
739	4970	1746
740	4975	1739
741	4981	1732
742	4988	1725
743	4995	1718
744	5002	1712
745	5009	1705
746	5016	1698
747	5022	1691
748	5028	1685
749	5035	1678
750	5042	1672
751	5049	1665
752	5055	1658
753	5061	1651
754	5066	1644
755	5073	1637
756	5080	1630
757	5088	1624
758	5095	1617
759	5102	1611
760	5109	1604
761	5115	1597
762	5123	1591
763	5131	1585
764	5137	1578
765	5144	1571
766	5151	1564
767	5157	1558
768	5165	1551
769	5172	1544
770	5178	1538
771	5186	1531
772	5190	1524
773	5196	1517
774	5203	1510
775	5210	1504
776	5217	1497
777	5224	1490
778	5231	1484
779	5237	1477
780	5243	1470
781	5249	1463
782	5257	1456
783	5263	1450
784	5270	1443
785	5276	1436
786	5284	1430
787	5291	1423
788	5298	1416
789	5305	1410
790	5310	1403
791	5318	1396
792	5325	1390
793	5331	1383
794	5338	1376
795	5344	1369
796	5351	1363
797	5357	1356
798	5364	1349
799	5371	1342
800	5377	1336
801	5383	1329
802	5391	1322
803	5397	1315
804	5403	1309
805	5410	1302
806	5416	1295
807	5424	1288
808	5431	1282
809	5437	1275
810	5443	1268
811	5449	1261
812	5455	1254
813	5461	1247
814	5467	1241
815	5473	1234
816	5479	1227
817	5485	1220
818	5493	1213
819	5499	1207
820	5504	1200
821	5511	1193
822	5518	1186
823	5523	1179
824	5529	1172
825	5535	1166
826	5542	1159
827	5549	1152
828	5555	1146
829	5561	1139
830	5568	1132
831	5574	1125
832	5581	1118
833	5587	1112
834	5594	1105
835	5601	1098
836	5607	1091
837	5612	1085
838	5618	1078
839	5625	1071
840	5632	1064
841	5639	1058
842	5646	1051
843	5652	1044
844	5660	1038
845	5665	1031
846	5672	1024
847	5678	1017
848	5685	1011
849	5691	1004
850	5698	997
851	5705	991
852	5711	984
853	5718	977
854	5723	970
855	5730	964
856	5736	957
857	5742	950
858	5750	943
859	5755	936
860	5761	930
861	5767	923
862	5775	916
863	5782	910
864	5789	903
865	5795	896
866	5801	890
867	5808	883
868	5816	876
869	5822	870
870	5829	863
871	5836	856
872	5842	849
873	5847	843
874	5853	836
875	5859	829
876	5866	822
877	5872	816
878	5879	809
879	5885	802
880	5892	795
881	5898	789
882	5905	782
883	5913	775
884	5919	769
885	5926	762
886	5932	755
887	5939	749
888	5945	742
889	5951	735
890	5958	728
891	5964	722
892	5971	715
893	5976	708
894	5983	701
895	5989	695
896	5996	688
897	6002	681
898	6009	675
899	6016	668
900	6023	661
901	6030	655
902	6035	648
903	6041	641
904	6047	634
905	6055	628
906	6062	621
907	6068	614
908	6075	608
909	6081	601
910	6088	594
911	6095	588
912	6103	581
913	6110	574
914	6116	568
915	6123	561
916	6130	554
917	6137	548
918	6143	541
919	6149	534
920	6156	528
921	6162	521
922	6168	514
923	6174	507
924	6181	501
925	6188	494
926	6195	487
927	6202	481
928	6207	474
929	6213	467
930	6219	460
931	6225	454
932	6231	447
933	6238	440
934	6243	434
935	6250	427
936	6256	420
937	6262	413
938	6268	407
939	6275	400
940	6283	393
941	6288	387
942	6294	380
943	6300	373
944	6307	367
945	6315	360
946	6321	353
947	6328	347
948	6335	340
949	6342	333
950	6347	327
951	6355	320
952	6362	313
953	6368	307
954	6374	300
955	6381	293
956	6387	287
957	6394	280
958	6400	273
959	6406	266
960	6413	260
961	6420	253
962	6427	246
963	6434	240
964	6441	233
965	6447	226
966	6452	220
967	6459	213
968	6466	206
969	6473	200
970	6478	193
971	6485	186
972	6492	180
973	6499	173
974	6506	166
975	6512	160
976	6518	153
977	6525	146
978	6532	140
979	6538	133
980	6545	126
981	6550	120
982	6557	113
983	6563	106
984	6570	100
985	6576	93
986	6582	86
987	6589	80
988	6597	73
989	6604	66
990	6611	60
991	6617	53
992	6624	46
993	6630	40
994	6636	33
995	6644	26
996	6650	20
997	6657	13
998	6665	6
999	6672	0
