iter	MAE
0	18161.70078
1	17783.46769
2	17376.16911
3	17033.06563
4	16663.11022
5	16343.87606
6	16148.10444
7	15814.14179
8	15476.21648
9	15174.25239
10	14932.82109
11	14644.09547
12	14388.63272
13	14196.33205
14	13960.01827
15	13886.44148
16	13633.4665
17	13475.0574
18	13260.10155
19	13074.25227
20	12960.70618
21	12774.24007
22	12652.16972
23	12500.00085
24	12390.13259
25	12204.93556
26	12027.02821
27	11848.42221
28	11763.85785
29	11648.20737
30	11567.89522
31	11440.74557
32	11320.11771
33	11234.80205
34	11158.60501
35	11051.19826
36	10958.95748
37	10897.72151
38	10791.87236
39	10711.40904
40	10608.62699
41	10570.62209
42	10466.12256
43	10388.40003
44	10363.35711
45	10307.67561
46	10229.22781
47	10188.86443
48	10177.67609
49	10143.22032
50	10133.73163
51	10058.54673
52	10040.15744
53	9948.957514
54	9909.137169
55	9898.640223
56	9838.579723
57	9818.671056
58	9809.21801
59	9796.417645
60	9748.510413
61	9713.308326
62	9707.384273
63	9695.632437
64	9657.136913
65	9650.269673
66	9642.985567
67	9640.307643
68	9586.024899
69	9573.631318
70	9567.624879
71	9530.30356
72	9514.124225
73	9503.807404
74	9498.61465
75	9457.423314
76	9452.536183
77	9404.207398
78	9392.404498
79	9320.364556
80	9300.03386
81	9292.67285
82	9280.626287
83	9246.587132
84	9207.498273
85	9204.169539
86	9199.94489
87	9147.682174
88	9126.136361
89	9083.056065
90	9071.516128
91	9069.115625
92	9051.683585
93	9043.374375
94	9027.372663
95	8995.334487
96	8960.328535
97	8920.52791
98	8898.243298
99	8894.81962
100	8893.48863
101	8890.679111
102	8889.197821
103	8888.248508
104	8884.393159
105	8873.951521
106	8867.446863
107	8861.755429
108	8817.752096
109	8806.373565
110	8805.180333
111	8802.496159
112	8759.437964
113	8758.92165
114	8758.092725
115	8757.599809
116	8697.318703
117	8679.116055
118	8637.843602
119	8636.466887
120	8617.920975
121	8603.822206
122	8591.939368
123	8587.851032
124	8583.967231
125	8578.609921
126	8577.138017
127	8576.345442
128	8531.098732
129	8525.895192
130	8525.71648
131	8522.320286
132	8521.108976
133	8520.436808
134	8520.164605
135	8505.340486
136	8487.209782
137	8486.116814
138	8484.194771
139	8478.874743
140	8478.636414
141	8461.730211
142	8455.344001
143	8449.276156
144	8437.358665
145	8404.800374
146	8402.774829
147	8396.910566
148	8392.212897
149	8353.400695
150	8340.831749
151	8339.107066
152	8310.731327
153	8260.793635
154	8255.141111
155	8247.468576
156	8224.446139
157	8224.391281
158	8202.031603
159	8198.597829
160	8197.970455
161	8195.256039
162	8194.832195
163	8172.637193
164	8167.979197
165	8161.195058
166	8110.378662
167	8108.422877
168	8107.431767
169	8105.68976
170	8104.227647
171	8103.823534
172	8101.411261
173	8101.278822
174	8100.11104
175	8071.657376
176	8070.753753
177	8068.549524
178	8037.774635
179	8036.258515
180	8035.497122
181	8015.814926
182	7999.729882
183	7998.776731
184	7998.032383
185	7995.392986
186	7994.288397
187	7993.664467
188	7987.068204
189	7966.185334
190	7943.674653
191	7942.764063
192	7921.952759
193	7888.649032
194	7866.36585
195	7865.615198
196	7864.704897
197	7863.966148
198	7861.705298
199	7860.805616
200	7859.778663
201	7858.882716
202	7829.914661
203	7828.742483
204	7797.400098
205	7797.201487
206	7796.924076
207	7782.299394
208	7781.651206
209	7756.028473
210	7724.217844
211	7721.722274
212	7690.640579
213	7689.579694
214	7670.597655
215	7669.115242
216	7659.566102
217	7658.908185
218	7639.165902
219	7637.413363
220	7624.469741
221	7597.891271
222	7562.1016
223	7544.254518
224	7543.974004
225	7531.744276
226	7514.724128
227	7514.300353
228	7513.815388
229	7513.57705
230	7478.055173
231	7460.785828
232	7444.766177
233	7433.864133
234	7426.520038
235	7426.34574
236	7423.089607
237	7418.254114
238	7399.084736
239	7369.411269
240	7339.726335
241	7321.701341
242	7310.698646
243	7310.115246
244	7295.818418
245	7295.132079
246	7291.941136
247	7261.378614
248	7246.379988
249	7237.105295
