iter	Passed	Remaining
0	9	9291
1	16	8129
2	24	8174
3	31	7766
4	40	8015
5	47	7873
6	50	7169
7	58	7222
8	66	7288
9	73	7308
10	81	7340
11	89	7378
12	97	7430
13	106	7466
14	113	7482
15	116	7185
16	124	7177
17	131	7148
18	138	7151
19	146	7156
20	152	7122
21	159	7090
22	166	7077
23	174	7088
24	183	7141
25	190	7136
26	197	7102
27	205	7146
28	213	7159
29	220	7123
30	228	7157
31	235	7115
32	241	7089
33	250	7111
34	258	7138
35	265	7112
36	273	7117
37	281	7114
38	289	7123
39	296	7127
40	303	7104
41	311	7105
42	318	7099
43	325	7073
44	333	7083
45	340	7071
46	348	7056
47	360	7143
48	368	7153
49	376	7156
50	379	7066
51	386	7042
52	392	7018
53	399	6998
54	406	6982
55	412	6948
56	418	6923
57	424	6892
58	430	6862
59	437	6853
60	444	6841
61	450	6820
62	453	6743
63	459	6721
64	467	6719
65	473	6701
66	477	6653
67	479	6577
68	485	6552
69	492	6538
70	495	6487
71	502	6475
72	509	6470
73	515	6453
74	521	6434
75	528	6422
76	534	6407
77	541	6403
78	547	6388
79	555	6386
80	562	6379
81	568	6368
82	575	6362
83	582	6351
84	589	6347
85	596	6338
86	602	6327
87	609	6319
88	614	6289
89	621	6280
90	627	6269
91	635	6268
92	642	6263
93	648	6251
94	654	6236
95	661	6224
96	667	6214
97	675	6212
98	681	6198
99	687	6183
100	690	6145
101	696	6132
102	702	6122
103	705	6078
104	711	6067
105	718	6061
106	725	6055
107	732	6045
108	739	6041
109	743	6017
110	749	6002
111	755	5991
112	762	5983
113	764	5945
114	770	5931
115	774	5901
116	781	5899
117	787	5889
118	794	5883
119	802	5882
120	808	5874
121	814	5864
122	821	5857
123	827	5846
124	834	5839
125	840	5830
126	846	5820
127	852	5811
128	859	5803
129	866	5797
130	868	5762
131	874	5752
132	880	5740
133	886	5729
134	889	5699
135	896	5693
136	902	5684
137	908	5675
138	915	5667
139	920	5653
140	924	5629
141	930	5623
142	936	5612
143	942	5603
144	949	5597
145	955	5590
146	962	5582
147	968	5575
148	974	5568
149	980	5558
150	987	5550
151	993	5542
152	999	5534
153	1006	5526
154	1012	5519
155	1019	5513
156	1026	5509
157	1028	5480
158	1034	5473
159	1041	5468
160	1047	5458
161	1053	5449
162	1059	5441
163	1066	5435
164	1072	5426
165	1078	5419
166	1085	5413
167	1091	5405
168	1097	5397
169	1103	5388
170	1110	5382
171	1115	5372
172	1121	5362
173	1126	5345
174	1131	5334
175	1137	5326
176	1143	5316
177	1149	5308
178	1156	5305
179	1163	5298
180	1169	5292
181	1175	5284
182	1182	5281
183	1190	5278
184	1196	5270
185	1202	5263
186	1208	5254
187	1214	5245
188	1220	5238
189	1227	5231
190	1233	5224
191	1240	5220
192	1247	5217
193	1255	5214
194	1261	5209
195	1268	5204
196	1275	5197
197	1281	5189
198	1288	5185
199	1295	5180
200	1300	5171
201	1306	5163
202	1313	5157
203	1319	5149
204	1327	5146
205	1333	5139
206	1339	5131
207	1346	5125
208	1352	5120
209	1360	5119
210	1367	5115
211	1374	5109
212	1381	5102
213	1387	5097
214	1394	5091
215	1401	5087
216	1408	5081
217	1414	5075
218	1421	5068
219	1427	5060
220	1434	5055
221	1440	5048
222	1446	5041
223	1453	5035
224	1459	5027
225	1466	5023
226	1473	5017
227	1480	5011
228	1486	5005
229	1492	4997
230	1499	4991
231	1506	4986
232	1513	4981
233	1519	4975
234	1526	4968
235	1533	4964
236	1539	4956
237	1545	4948
238	1552	4942
239	1559	4936
240	1565	4930
241	1572	4923
242	1578	4917
243	1585	4911
244	1591	4904
245	1597	4897
246	1604	4890
247	1611	4885
248	1617	4878
249	1624	4873
250	1631	4868
251	1637	4860
252	1644	4855
253	1651	4849
254	1657	4842
255	1663	4835
256	1670	4830
257	1677	4823
258	1683	4816
259	1689	4809
260	1696	4802
261	1702	4795
262	1709	4791
263	1716	4785
264	1723	4779
265	1729	4772
266	1735	4764
267	1741	4757
268	1748	4751
269	1754	4743
270	1760	4736
271	1767	4729
272	1772	4720
273	1778	4713
274	1784	4704
275	1791	4698
276	1797	4691
277	1803	4684
278	1810	4677
279	1815	4669
280	1821	4661
281	1828	4654
282	1834	4648
283	1840	4639
284	1846	4632
285	1853	4626
286	1860	4621
287	1866	4614
288	1872	4607
289	1879	4601
290	1885	4594
291	1892	4588
292	1898	4581
293	1904	4574
294	1911	4568
295	1917	4560
296	1924	4554
297	1930	4546
298	1936	4539
299	1942	4532
300	1949	4526
301	1955	4520
302	1961	4513
303	1968	4506
304	1974	4499
305	1980	4491
306	1987	4485
307	1993	4479
308	2000	4473
309	2007	4468
310	2013	4461
311	2020	4456
312	2028	4451
313	2035	4445
314	2041	4439
315	2049	4435
316	2055	4428
317	2061	4421
318	2068	4415
319	2075	4410
320	2081	4402
321	2087	4396
322	2094	4390
323	2100	4383
324	2106	4375
325	2112	4367
326	2118	4360
327	2125	4354
328	2131	4347
329	2137	4339
330	2143	4331
331	2149	4324
332	2155	4317
333	2162	4312
334	2169	4305
335	2175	4299
336	2181	4292
337	2188	4285
338	2194	4278
339	2201	4272
340	2207	4265
341	2214	4260
342	2220	4253
343	2227	4247
344	2233	4239
345	2239	4232
346	2245	4225
347	2251	4218
348	2258	4213
349	2265	4206
350	2271	4199
351	2277	4192
352	2283	4185
353	2290	4179
354	2296	4172
355	2303	4167
356	2309	4160
357	2316	4154
358	2323	4148
359	2329	4141
360	2335	4133
361	2342	4129
362	2349	4123
363	2357	4118
364	2363	4112
365	2370	4106
366	2377	4100
367	2383	4094
368	2389	4086
369	2396	4080
370	2403	4074
371	2409	4067
372	2415	4060
373	2422	4055
374	2428	4047
375	2434	4040
376	2441	4034
377	2447	4027
378	2453	4020
379	2460	4014
380	2466	4007
381	2472	4000
382	2478	3993
383	2485	3987
384	2492	3980
385	2499	3975
386	2505	3969
387	2512	3962
388	2518	3956
389	2527	3953
390	2533	3946
391	2539	3938
392	2545	3931
393	2552	3926
394	2559	3920
395	2565	3913
396	2571	3906
397	2577	3898
398	2583	3891
399	2590	3886
400	2597	3879
401	2603	3872
402	2610	3866
403	2616	3859
404	2622	3852
405	2628	3846
406	2634	3839
407	2641	3833
408	2647	3825
409	2653	3818
410	2659	3811
411	2666	3805
412	2672	3798
413	2679	3792
414	2685	3786
415	2692	3779
416	2698	3772
417	2705	3767
418	2712	3761
419	2718	3754
420	2724	3747
421	2731	3741
422	2737	3733
423	2744	3727
424	2750	3721
425	2756	3714
426	2763	3707
427	2769	3701
428	2775	3694
429	2782	3687
430	2788	3681
431	2795	3675
432	2801	3668
433	2807	3661
434	2814	3655
435	2820	3648
436	2827	3642
437	2834	3636
438	2841	3631
439	2848	3625
440	2854	3618
441	2861	3611
442	2867	3605
443	2873	3598
444	2880	3592
445	2886	3585
446	2893	3579
447	2899	3572
448	2905	3566
449	2912	3559
450	2918	3552
451	2925	3546
452	2931	3539
453	2938	3533
454	2944	3526
455	2950	3519
456	2956	3512
457	2962	3506
458	2969	3499
459	2975	3493
460	2982	3486
461	2988	3480
462	2995	3473
463	3000	3466
464	3007	3460
465	3013	3453
466	3019	3446
467	3026	3440
468	3032	3432
469	3038	3426
470	3044	3419
471	3051	3412
472	3057	3406
473	3063	3400
474	3071	3394
475	3077	3387
476	3083	3381
477	3089	3374
478	3096	3368
479	3102	3361
480	3108	3354
481	3115	3348
482	3122	3341
483	3128	3335
484	3135	3329
485	3142	3323
486	3148	3316
487	3155	3310
488	3161	3304
489	3168	3298
490	3175	3291
491	3181	3285
492	3187	3278
493	3193	3271
494	3201	3265
495	3208	3259
496	3214	3253
497	3220	3246
498	3226	3239
499	3233	3233
500	3239	3226
501	3246	3220
502	3252	3213
503	3258	3206
504	3265	3200
505	3272	3194
506	3278	3188
507	3285	3181
508	3291	3175
509	3298	3169
510	3305	3162
511	3312	3156
512	3318	3150
513	3325	3144
514	3331	3137
515	3338	3131
516	3344	3124
517	3350	3117
518	3356	3110
519	3362	3104
520	3368	3097
521	3375	3091
522	3381	3084
523	3388	3078
524	3394	3071
525	3400	3063
526	3406	3057
527	3413	3051
528	3420	3045
529	3427	3039
530	3433	3032
531	3440	3026
532	3446	3020
533	3453	3013
534	3458	3006
535	3465	2999
536	3471	2993
537	3477	2986
538	3484	2980
539	3489	2972
540	3495	2965
541	3501	2959
542	3508	2953
543	3515	2946
544	3521	2939
545	3528	2933
546	3534	2927
547	3540	2920
548	3547	2914
549	3553	2907
550	3559	2900
551	3566	2894
552	3573	2888
553	3580	2882
554	3586	2875
555	3593	2869
556	3600	2863
557	3606	2857
558	3613	2850
559	3619	2843
560	3625	2837
561	3631	2830
562	3638	2823
563	3644	2817
564	3650	2810
565	3657	2804
566	3663	2797
567	3669	2791
568	3675	2784
569	3680	2776
570	3687	2770
571	3694	2764
572	3700	2757
573	3706	2750
574	3713	2744
575	3719	2738
576	3726	2731
577	3732	2725
578	3739	2718
579	3746	2712
580	3752	2706
581	3758	2699
582	3765	2693
583	3771	2686
584	3777	2679
585	3782	2672
586	3789	2665
587	3795	2659
588	3801	2652
589	3807	2645
590	3814	2639
591	3820	2633
592	3827	2626
593	3834	2620
594	3839	2613
595	3845	2606
596	3851	2600
597	3858	2593
598	3864	2587
599	3870	2580
600	3877	2574
601	3882	2567
602	3889	2560
603	3895	2554
604	3902	2547
605	3908	2540
606	3914	2534
607	3921	2528
608	3927	2521
609	3933	2515
610	3939	2508
611	3945	2501
612	3952	2495
613	3959	2489
614	3965	2482
615	3970	2475
616	3977	2468
617	3983	2462
618	3989	2455
619	3995	2448
620	4001	2442
621	4007	2435
622	4014	2429
623	4020	2422
624	4026	2416
625	4033	2409
626	4039	2403
627	4045	2396
628	4051	2389
629	4056	2382
630	4063	2376
631	4069	2369
632	4076	2363
633	4082	2356
634	4088	2349
635	4094	2343
636	4100	2336
637	4107	2330
638	4113	2323
639	4118	2316
